I_DATA_SET1,SOURCE_RES,SOURCE_PSCHEMA,SOURCE_LSCHEMA,SOURCE_TABLE1,SOURCE_TABLE2,SOURCE_TAB,TARGET_PSCHEMA,TARGET_LSCHEMA,TARGET_TABLE1,TARGET_TABLE2,TARGET_TAB,TARGET_RES,I_DATA_SET2
3121007,ODS,DWH_STG.DWH_STAGING,DWH_STAGING_LOGICAL,T_EB_SYSTEM_SUMMARY,DWH_STG.DWH_STAGING.T_EB_SYSTEM_SUMMARY,DWH_STAGING_LOGICAL.T_EB_SYSTEM_SUMMARY,DWH.DWH,DWH_LOGICAL,EB_SYSTEM_SUMMARY,DWH.DWH.EB_SYSTEM_SUMMARY,DWH_LOGICAL.EB_SYSTEM_SUMMARY,ODS,3121007
6899007,ODS,KONDOR.ktpplus.dbo,KONDOR_KTPPLUS,PaymentClass,KONDOR.ktpplus.dbo.PaymentClass,KONDOR_KTPPLUS.PaymentClass,DWH.DWH,DWH_DWH,KDR_PAYMENTCLASS,DWH.DWH.KDR_PAYMENTCLASS,DWH_DWH.KDR_PAYMENTCLASS,ODS,6899007
6252007,ODS,DWH_STG.DWH_STAGING,DWH_STAGING_LOGICAL,T_TRANSFER_CODE_TCB,DWH_STG.DWH_STAGING.T_TRANSFER_CODE_TCB,DWH_STAGING_LOGICAL.T_TRANSFER_CODE_TCB,DWH.DWH,DWH_LOGICAL,TRANSFER_CODE_TCB,DWH.DWH.TRANSFER_CODE_TCB,DWH_LOGICAL.TRANSFER_CODE_TCB,ODS,6252007
3235007,ODS,DWH.DWH,DWH_LOGICAL,V_T24POS_MVMT_LWORK_DAY,DWH.DWH.V_T24POS_MVMT_LWORK_DAY,DWH_LOGICAL.V_T24POS_MVMT_LWORK_DAY,DWH_STG.DWH_STAGING,DWH_STAGING_LOGICAL,T_POS_MVMT_LWORK_DAY,DWH_STG.DWH_STAGING.T_POS_MVMT_LWORK_DAY,DWH_STAGING_LOGICAL.T_POS_MVMT_LWORK_DAY,ODS,3235007
3399007,ODS,DWH_STG.DWH_STAGING,DWH_STAGING_LOGICAL,T_AZ_ACCT_BAL,DWH_STG.DWH_STAGING.T_AZ_ACCT_BAL,DWH_STAGING_LOGICAL.T_AZ_ACCT_BAL,DWH.DWH,DWH_LOGICAL,AZ_ACCT_BAL,DWH.DWH.AZ_ACCT_BAL,DWH_LOGICAL.AZ_ACCT_BAL,ODS,3399007
256138007,ODS,DWH_STG.DWH_STAGING,DWH_STAGING_LOGICAL,T_EB_INFO_CHANGE,DWH_STG.DWH_STAGING.T_EB_INFO_CHANGE,DWH_STAGING_LOGICAL.T_EB_INFO_CHANGE,DWH.DWH,DWH_LOGICAL,EB_INFO_CHANGE,DWH.DWH.EB_INFO_CHANGE,DWH_LOGICAL.EB_INFO_CHANGE,ODS,256138007
256453007,ODS,SUPPORT_CENTRER1.supportcenter.dbo,SupportCentrer1,Requester_Fields,SUPPORT_CENTRER1.supportcenter.dbo.Requester_Fields,SupportCentrer1.Requester_Fields,DWH.DWH,DWH_LOGICAL,SC_REQUESTER_FIELDS,DWH.DWH.SC_REQUESTER_FIELDS,DWH_LOGICAL.SC_REQUESTER_FIELDS,ODS,256453007
256521007,ODS,SUPPORT_CENTRER1.supportcenter.dbo,SupportCentrer1,CategoryDefinition,SUPPORT_CENTRER1.supportcenter.dbo.CategoryDefinition,SupportCentrer1.CategoryDefinition,DWH.DWH,DWH_LOGICAL,SC_CATEGORYDEFINITION,DWH.DWH.SC_CATEGORYDEFINITION,DWH_LOGICAL.SC_CATEGORYDEFINITION,ODS,256521007
256389007,ODS,EDW_DMT.EDW_DMT,EDW_DMT_LOGICAL,R_TBL_OT_0001_TRANS_TSDB_DAILY,EDW_DMT.EDW_DMT.R_TBL_OT_0001_TRANS_TSDB_DAILY,EDW_DMT_LOGICAL.R_TBL_OT_0001_TRANS_TSDB_DAILY,CCT.CCT_USER,CCT_USER,TBL_CCT_TSDB_TRANS_DAILY,CCT.CCT_USER.TBL_CCT_TSDB_TRANS_DAILY,CCT_USER.TBL_CCT_TSDB_TRANS_DAILY,ODS,256389007
251863001,DWH,,PIPELINE_EDW_STG,T_PIPE_T24_SUBLEAD,.T_PIPE_T24_SUBLEAD,PIPELINE_EDW_STG.T_PIPE_T24_SUBLEAD,,PIPELINE_EDW_DMT,LEAD_X_SUBLEAD,.LEAD_X_SUBLEAD,PIPELINE_EDW_DMT.LEAD_X_SUBLEAD,DWH,251863001
