src_tab,ID
EDW_DWH_STG.I$_CT_CATEGORY_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.EB_LOANS_PURPOSE_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.TD_KVRRTYPE,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_PAYMENTCLASS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_CT_TRANSFER_CODE_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_PURPOSE_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_CATEGORY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_RELATION,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.T_GROUP_ACC_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_FT_COMMISSION_TYPE,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_DEALER_DESK,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_CLEARINGMODES,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_CMS_IDENTITY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.LOS_USERS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.CMS_IDENTITY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_CO_DVBAOVE_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_USERS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_CMS_CLIENTPERSONE,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_LD_INVESTOR,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_THIRDPARTY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_COMPANY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.RE_ID_NHANSU_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_CPTY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_USERTBL,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.CUSTOMER,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_CMS_CLERK,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_CO_DVBAOHIEM_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.LOS_HISTORIC,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_COPHIEU,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_BROKERS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_CONGTYDINHGIA_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.TMP_LOS_MAINAPP_IP2,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.TMP_LOS_MAINAPP_IP,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_KDR_SETTLEMENTLIMIT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.MBB_CUSTOMERS_IDEN,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.ECM_LC_TRANS_DETAILS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.CMS_CONTRACT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.ECM_LIST_PROCESS_RESULT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.ECM_LC_TRANSACTIONS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.CMS_CONTRACTTYPEPARAMETERS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
